symbol,fullName,sector,ltp,point_change,percentage_change,volume,amount
SLCF,Sanima Large Cap Fund,Mutual Fund,9.52,0.03,0.32,0,3067
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited,Microfinance,728,-4,-0.55,1029,743212.9
SMB,Support Microfinance Bittiya Sanstha Ltd.,Microfinance,1820,20,1.11,889,1602130.3
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Ltd,Microfinance,1493.1,-31.9,-2.09,374,561692.8
SMH,Super Mai Hydropower Limited,HydroPower,506,-3,-0.59,6919,3507837.7
SMHL,Super Madi Hydropower Limited,HydroPower,494,0.9,0.18,19476,9614886.5
SMJC,Sagarmatha Jalabidhyut Company Limited,HydroPower,458,8.1,1.8,212329,97732745.2
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited,Microfinance,745,-5,-0.67,564,417641.6
SNLI,Sun Nepal Life Insurance Company Limited,Life Insurance,414,-1.3,-0.31,11773,4822039.5
SNORL,Snow Rivers Limited,HydroPower,906,24.4,2.77,22802,20622057.1
SOHL,Solu Hydropower Limited,HydroPower,688,26,3.93,578177,392552704
SONA,Sonapur Minerals And Oil Limited,Manu.& Pro.,408,5,1.24,23274,9427349.6
SOPL,Sopan Pharmaceuticals Limited,Manu.& Pro.,792,-8,-1,33277,26505605.8
SPC,Samling Power Company Limited,HydroPower,419,-1,-0.24,3743,1558104.9
SPDL,Synergy Power Development Ltd.,HydroPower,368,5.6,1.55,27048,9864683.5
SPHL,Sayapatri Hydropower Limited,HydroPower,524,4,0.77,8181,4275110
SPIL,Siddhartha Premier Insurance Limited,Non Life Insurance,690,3,0.44,7183,4931872.1
SPL,Shuvam Power Limited,HydroPower,652,-11,-1.66,2378,1538337.5
